Theta,Phi,Gain_RHCP,Gain_RHCP_Phase,Gain_LHCP,Gain_LHCP_Phase
-163,117,-11.71065977,164.9904297,-1.311381232,12.67932428
-162,117,-11.55522668,163.5386258,-1.392144979,12.91650046
-161,117,-11.41553152,162.045071,-1.479219821,13.14887208
-160,117,-11.29361001,160.4823838,-1.572287706,13.38166982
-159,117,-11.19103301,158.8252883,-1.670883407,13.62089714
-158,117,-11.10893169,157.0520854,-1.774406473,13.873142
-157,117,-11.04804529,155.1459044,-1.882136551,14.14534996
-156,117,-11.00879826,153.0957303,-1.993251526,14.44456233
-155,117,-10.99141321,150.8971901,-2.106848049,14.77762582
-154,117,-10.99606254,148.5530593,-2.221964176,15.15088321
-153,117,-11.02305603,146.0734451,-2.337603916,15.56985796
-152,117,-11.07305428,143.4756022,-2.452763599,16.03894879
-151,117,-11.1472907,140.7833663,-2.566459917,16.56115288
-150,117,-11.24778039,138.0262424,-2.677759323,17.13783741
-149,117,-11.37749396,135.2382544,-2.785808151,17.76857932
-148,117,-11.54047989,132.4567335,-2.889862352,18.45109038
-147,117,-11.7419294,129.7212809,-2.989315277,19.18124029
-146,117,-11.98819057,127.0731714,-3.083721475,19.9531839
-145,117,-12.28674945,124.555474,-3.172814264,20.75959034
-144,117,-12.64620296,122.2141777,-3.256514888,21.59196292
-143,117,-13.07624659,120.1006546,-3.33493155,22.44103054
-142,117,-13.58768807,118.2759349,-3.408347407,23.29718459
-141,117,-14.19246732,116.8175586,-3.477197703,24.1509318
-140,117,-14.90359384,115.8303267,-3.542037338,24.99333303
-139,117,-15.73475046,115.4631971,-3.603501269,25.81640084
-138,117,-16.69891818,115.9359118,-3.662260847,26.61343386
-137,117,-17.80440844,117.579972,-3.718979598,27.37927294
-136,117,-19.04441505,120.8948783,-3.774271874,28.11047075
-135,117,-20.37181773,126.5931512,-3.828667351,28.80537249
-134,117,-21.64876237,135.4993002,-3.882583663,29.4641105
-133,117,-22.59265113,147.9448194,-3.936308561,30.08851813
-132,117,-22.85798144,162.5711911,-3.989992136,30.68197044
-131,117,-22.34943056,176.3311188,-4.043648798,31.24916019
-130,117,-21.33608462,-173.0920399,-4.097168079,31.79581859
-129,117,-20.15372044,-165.9960224,-4.150332818,32.32839087
-128,117,-19.00164097,-161.6466248,-4.202843017,32.85367892
-127,117,-17.95933686,-159.2255231,-4.254343554,33.37846478
-126,117,-17.04649182,-158.1099019,-4.304453959,33.90913133
-125,117,-16.25911569,-157.8673709,-4.352798622,34.4512986
-124,117,-15.58554769,-158.199009,-4.399035955,35.00949534
-123,117,-15.01274412,-158.8920081,-4.442885217,35.5868857
-122,117,-14.528499,-159.7884623,-4.484149826,36.18506901
